Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
11/29/2020 0:52,4th year,Good,75,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
11/29/2020 0:55,4th year,Normal,68,Male,22,Home,Single,Yes,3,Normal,Yes,No,No,Family,No,Yes,Yes,Yes,Yes,7
11/29/2020 0:58,4th year,Normal,65,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 1:08,4th year,Very bad,15,Male,22,Hall-Mess,Single,Yes,3,Normal,Yes,No,No,Family,Yes,Yes,No,No,No,5
11/29/2020 1:12,4th year,Very good,85,Male,22,Home,Single,Yes,3,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
11/29/2020 1:16,4th year,Normal,70,Male,22,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 1:18,4th year,Normal,55,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Yes,Yes,Yes,8
11/29/2020 1:21,4th year,Very good,75,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,8
11/29/2020 1:25,4th year,Very good,85,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,No,6
11/29/2020 1:28,4th year,Normal,50,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,No,7
11/29/2020 12:15,4th year,Normal,50,Male,22,Home,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
11/29/2020 12:16,4th year,Good,80,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,8
11/29/2020 12:19,4th year,Normal,50,Male,22,Home,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 12:30,4th year,Good,60,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 12:32,3rd year,Bad,25,Male,22,Home,Single,No,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 12:34,4th year,Very bad,9,Male,22,Home,Single,Yes,1,Good,Yes,No,No,Family,No,Yes,Yes,Yes,Yes,6
11/29/2020 12:38,4th year,Normal,54,Male,22,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 12:42,4th year,Normal,56,Male,22,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
11/29/2020 12:51,3rd year,Good,75,Male,22,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,6
11/29/2020 12:55,4th year,Very good,90,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
11/29/2020 12:59,2nd year,Normal,59,Male,22,Home,Single,Yes,3,Good,Yes,Yes,Yes,Family,No,Yes,Yes,No,Yes,7
11/29/2020 13:02,2nd year,Very good,95,Male,22,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,6
11/29/2020 13:08,4th year,Good,76,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,No,7
11/29/2020 13:10,2nd year,Good,76,Male,22,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
11/29/2020 13:12,1st year,Normal,52,Male,22,Hall-Mess,Single,Yes,3,Normal,No,No,No,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 13:15,2nd year,Very good,89,Male,22,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
11/29/2020 13:25,1st year,Good,76,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
11/29/2020 13:26,1st year,Good,56,Male,19,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 13:27,1st year,Good,76,Male,19,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,8
11/29/2020 13:29,2nd year,Good,75,Male,19,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 13:30,1st year,Bad,30,Male,19,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 13:31,1st year,Good,70,Male,19,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
11/29/2020 13:33,1st year,Normal,53,Male,19,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,No one,Yes,Yes,Yes,No,Yes,7
12/5/2020 1:44,3rd year,Good,75,Male,21,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/5/2020 1:48,3rd year,Normal,50,Male,21,Hall-Mess,Single,Yes,2,Good,No,No,Yes,Family,Yes,Yes,No,No,No,6
12/5/2020 1:54,2nd year,Bad,35,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,No,Yes,Yes,No,Yes,7
12/5/2020 1:58,4th year,Good,80,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,6
12/5/2020 2:03,1st year,Very bad,10,Male,19,Hall-Mess,Single,Yes,1,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
12/5/2020 2:04,2nd year,Good,75,Male,20,Hall-Mess,Single,Yes,2,Normal,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,6
12/6/2020 1:39,2nd year,Good,55,Male,20,Home,Single,Yes,2,Good,Yes,No,Yes,Family,No,Yes,Yes,No,Yes,8
12/6/2020 13:15,1st year,Very good,96,Male,19,Home,Single,Yes,4,Good,Yes,Not applicable,Yes,Family,Yes,Yes,No,Yes,No,7
12/6/2020 13:17,2nd year,Good,80,Male,20,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/8/2020 1:32,2nd year,Very good,95,Male,20,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/8/2020 1:34,2nd year,Good,80,Male,20,Home,Single,Yes,3,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/8/2020 1:36,3rd year,Very good,90,Male,21,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/8/2020 1:37,3rd year,Good,75,Male,21,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,6
12/8/2020 1:40,4th year,Normal,55,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/8/2020 1:46,3rd year,Good,75,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/8/2020 1:48,3rd year,Good,76,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,5
12/8/2020 1:50,2nd year,Bad,20,Male,20,Department,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/8/2020 1:55,2nd year,Good,80,Male,20,Home,Single,Yes,3,Good,Yes,No,No,Family,Yes,Yes,Yes,No,Yes,6
12/8/2020 1:57,1st year,Good,80,Male,19,Home,Single,Yes,2,Good,Yes,No,Yes,Family,No,Yes,Yes,Yes,Yes,6
12/13/2020 17:33,2nd year,Good,70,Male,20,Home,Single,Yes,2,Good,Yes,No,Yes,Family,No,Yes,Yes,No,Yes,7
12/13/2020 17:35,2nd year,Good,75,Male,20,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
12/13/2020 17:37,2nd year,Normal,55,Male,20,Home,Single,Yes,2,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 17:39,2nd year,Normal,50,Male,20,Hall-Mess,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 17:56,2nd year,Good,76,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 18:01,3rd year,Good,76,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,6
12/13/2020 18:05,4th year,Good,80,Male,22,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
12/13/2020 18:07,4th year,Normal,58,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,7
12/13/2020 18:09,4th year,Bad,25,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,No,Yes,Yes,No,Yes,7
12/13/2020 18:12,1st year,Good,75,Male,19,Home,Single,Yes,3,Good,Yes,No,Yes,Family,No,Yes,Yes,No,Yes,7
12/13/2020 18:15,3rd year,Good,78,Male,21,Home,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
12/13/2020 18:18,1st year,Good,70,Male,19,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Yes,Yes,Yes,7
12/13/2020 18:21,2nd year,Very bad,10,Male,19,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,No,Yes,No,6
12/13/2020 18:27,3rd year,Good,77,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 18:31,2nd year,Good,78,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 18:40,2nd year,Good,80,Male,20,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 18:44,3rd year,Good,80,Male,21,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,6
12/13/2020 18:47,1st year,Good,76,Male,19,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 18:54,1st year,Good,80,Male,19,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 18:57,4th year,Good,80,Male,22,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 19:03,4th year,Good,78,Male,22,Home,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,Yes,6
12/13/2020 19:05,3rd year,Good,80,Male,21,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,6
12/13/2020 19:07,3rd year,Very good,90,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,Yes,No,7
12/13/2020 19:15,2nd year,Very good,90,Male,20,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,Family,No,Yes,No,Yes,Yes,7
12/13/2020 19:17,2nd year,Very good,95,Male,20,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,7
12/13/2020 19:22,2nd year,Good,80,Male,20,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,7
12/13/2020 19:24,3rd year,Very good,90,Male,21,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 19:26,2nd year,Normal,55,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/13/2020 19:28,2nd year,Good,80,Male,20,Hall-Mess,Single,No,3,Good,Yes,No,Yes,Family,No,Yes,Yes,Yes,Yes,7
12/13/2020 19:29,4th year,Good,65,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,Yes,Yes,Yes,No,7
12/13/2020 19:31,3rd year,Good,76,Male,21,Hall-Mess,Single,Yes,2,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/24/2020 0:29,4th year,Good,66,Male,22,Home,Single,Yes,2,Normal,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,6
12/24/2020 0:32,3rd year,Normal,55,Male,21,Home,Single,No,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 0:37,2nd year,Good,78,Male,20,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,8
12/24/2020 0:48,2nd year,Good,76,Male,20,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,6
12/24/2020 0:50,3rd year,Normal,56,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,Yes,Yes,Family,Yes,Yes,Neutral,No,Yes,8
12/24/2020 0:55,2nd year,Normal,60,Male,20,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 0:57,4th year,Bad,40,Male,22,Home,Single,Yes,2,Good,Yes,No,Yes,Family,No,Yes,Neutral,No,Yes,7
12/24/2020 1:05,3rd year,Good,80,Male,21,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,Yes,Neutral,No,Yes,6
12/24/2020 1:12,2nd year,Normal,60,Male,20,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 1:18,3rd year,Normal,60,Male,21,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,Yes,Yes,7
12/24/2020 1:20,3rd year,Good,80,Male,21,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 1:21,2nd year,Good,70,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,No,7
12/24/2020 1:29,2nd year,Good,78,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 1:31,3rd year,Good,76,Male,21,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Not applicable,Yes,Neutral,No,Yes,7
12/24/2020 1:33,3rd year,Very good,84,Male,21,Hall-Mess,Single,Yes,4,Normal,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 1:35,3rd year,Very good,95,Male,21,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 1:37,1st year,Very good,95,Male,19,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 1:39,2nd year,Normal,60,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Not applicable,Neutral,No,Yes,6
12/24/2020 1:41,4th year,Good,78,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 1:43,2nd year,Good,80,Male,20,Hall-Mess,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,Not applicable,Neutral,Yes,Yes,7
12/24/2020 1:48,2nd year,Bad,25,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/24/2020 1:52,2nd year,Good,70,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 1:54,3rd year,Normal,60,Male,21,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,Not applicable,Neutral,Yes,Yes,7
12/24/2020 1:58,2nd year,Good,76,Male,20,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 1:59,2nd year,Good,60,Male,20,Hall-Mess,Single,Yes,4,Normal,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 8:56,2nd year,Good,78,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,Neutral,Yes,Yes,7
12/24/2020 8:58,2nd year,Good,76,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,6
12/24/2020 8:59,4th year,Normal,60,Male,22,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 9:02,4th year,Good,80,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 9:03,4th year,Bad,20,Male,22,Home,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 9:08,4th year,Good,80,Male,22,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 9:10,4th year,Good,76,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 9:11,4th year,Good,80,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,Yes,Yes,7
12/24/2020 9:36,3rd year,Good,80,Male,21,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,7
12/24/2020 9:37,2nd year,Good,80,Male,20,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,7
12/24/2020 9:39,2nd year,Bad,34,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,No,No,6
12/24/2020 9:42,4th year,Bad,40,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,7
12/24/2020 9:45,2nd year,Good,80,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,7
12/24/2020 9:46,4th year,Normal,58,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,Yes,No,Yes,Yes,7
12/24/2020 9:53,3rd year,Good,80,Male,21,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,7
12/24/2020 9:55,2nd year,Good,80,Male,20,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,No,No,No,No,8
12/24/2020 9:57,2nd year,Good,80,Male,20,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,No,No,No,6
12/24/2020 10:00,4th year,Bad,36,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Not applicable,No,Yes,Yes,7
12/24/2020 10:01,2nd year,Good,78,Male,20,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,7
12/24/2020 11:17,2nd year,Good,80,Male,20,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,6
12/24/2020 11:28,2nd year,Good,80,Male,20,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,Yes,Yes,No,No,Yes,7
12/24/2020 11:31,2nd year,Good,78,Male,20,Home,Single,Yes,3,Good,Yes,No,Yes,Family,No,Yes,No,No,Yes,7
12/24/2020 11:34,3rd year,Bad,40,Male,21,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,No,No,No,Yes,Yes,7
12/24/2020 11:46,3rd year,Very bad,10,Male,19,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,Yes,Yes,7
12/24/2020 11:50,2nd year,Bad,30,Male,20,Hall-Mess,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,7
12/24/2020 11:52,2nd year,Bad,32,Male,20,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,8
12/24/2020 11:57,3rd year,Bad,29,Male,21,Hall-Mess,Single,Yes,1,Good,Yes,No,Yes,Family,Yes,No,No,No,Yes,7
12/24/2020 11:59,4th year,Very bad,10,Male,22,Home,Single,No,1,Good,Yes,No,No,Not applicable,Yes,No,No,Yes,Yes,8
12/24/2020 12:01,4th year,Bad,25,Male,22,Home,Single,Yes,3,Normal,Yes,No,Yes,Not applicable,No,No,No,No,No,6
12/24/2020 12:02,4th year,Very bad,10,Male,22,Home,Single,No,1,Good,Yes,No,Yes,Family,Yes,No,No,Yes,No,7
12/24/2020 12:08,4th year,Bad,25,Male,22,Home,Single,Yes,3,Normal,No,No,Yes,Family,Yes,Yes,No,Yes,Yes,7
12/24/2020 12:10,4th year,Very bad,1,Male,22,Home,Single,Yes,4,Good,Yes,No,Yes,Family,No,Yes,No,Yes,Yes,7
12/24/2020 12:11,4th year,Very bad,10,Male,22,Home,Single,No,1,Good,Yes,No,No,Friends,Yes,No,No,Yes,No,4
12/25/2020 12:44,4th year,Good,80,Male,22,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
12/25/2020 12:45,4th year,Normal,60,Male,22,Home,Single,Yes,4,Good,Yes,No,Yes,Family,No,Yes,Yes,Yes,Yes,7
12/25/2020 12:48,4th year,Good,80,Male,22,Home,Single,Yes,3,Normal,Yes,No,No,Family,Yes,Yes,Yes,No,Yes,6
12/25/2020 12:50,4th year,Normal,60,Male,22,Home,Single,Yes,3,Good,Yes,No,No,Family,Yes,Yes,No,Yes,No,8
12/25/2020 12:51,4th year,Normal,60,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,No,Yes,Yes,9
12/25/2020 12:58,4th year,Very good,95,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,Yes,Yes,7
12/25/2020 13:01,4th year,Very good,98,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,No,No,Yes,Yes,9
12/25/2020 13:02,4th year,Normal,9,Male,22,Home,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Yes,No,Yes,Yes,9
12/25/2020 13:04,4th year,Very good,87,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,No,Yes,Yes,No,Yes,9
12/25/2020 13:06,4th year,Normal,60,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,9
12/26/2020 8:53,4th year,Good,80,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,No,No,Yes,7
12/26/2020 8:55,4th year,Very good,96,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,No,Yes,No,Yes,Yes,7
12/26/2020 8:57,4th year,Normal,56,Male,22,Home,Single,Yes,3,Good,Yes,No,No,Family,Yes,No,Yes,No,Yes,9
12/26/2020 8:59,4th year,Bad,34,Male,22,Home,Single,No,4,Good,No,Yes,No,Family,No,Yes,No,No,Yes,7
12/26/2020 9:01,4th year,Bad,30,Male,22,Home,Single,Yes,2,Good,No,No,No,Family,No,Yes,No,No,Yes,7
12/26/2020 9:03,4th year,Normal,56,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Yes,No,Yes,7
12/26/2020 9:04,4th year,Normal,59,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,No,No,Yes,No,Yes,8
12/26/2020 9:07,4th year,Normal,56,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Family,No,Yes,Yes,No,Yes,7
12/26/2020 9:08,4th year,Normal,59,Male,22,Home,Single,Yes,2,Good,No,No,Yes,Family,Yes,Yes,No,Yes,Yes,6
12/26/2020 10:03,4th year,Normal,60,Male,22,Home,Single,Yes,4,Good,No,No,Yes,Family,No,Yes,No,Yes,Yes,7
